,,,,,,,
,field name,BE variable name,field type,default value,description (or logic),comments,
,guaranteed_analysis_raw,guaranteedAnalysisRaw,json,Required,"create json for all the nutrients, additives etc. mentioned on the pack along with corresponding values & units",,
,weight,weight,int,Required,in grams,,
,price,price,int,Required,for 1 unit (pack/can),,
,price_currency,priceCurrency,varchar,INR,currency mentioned on pack,,
,met_energy_raw,metEnergyRaw,varchar,NULL,"Metabolisable Energy
as mentioned on the pack with units, NULL if not present",,
,met_energy,metEnergy,float,NULL,"Metabolisable Energy
converted raw value, in kCals per 100g",,
,feeding_guidelines,feedingGuidelines,varchar,NULL,Text as mentioned on pack,,
,product_web_link,productWebLink,varchar (URL),NULL,Link to the product on official brand/product website,,
,detected_language,detectedLanguage,text/array,NULL,Array of languages detected on pack and used for extraction.,,
,translated_flag,translatedFlag,boolean,FALSE,TRUE if the text from pack has been traslated by AI,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Table name:,Ingredients (dim),Info bank of ingredients that are present in cat food products - Dim table: Maintained by Admins,,,,,
,ingredient_name,ingredientName,varchar,Required,Name of ingredient,,
,origin,origin,varchar/enum,Required,"Where is the ingredient derived from?
- animal
- plant
- synthetic",,
,category,category,varchar/enum,NULL,"Where type of ingredient is it?
- named animal protein
- unnnamed animal proteins (includes processed animal proteins, meals, by products)
- plant protein
- natural (i.e derived from plants)
- synthetic
- unknown",,
,transparency,transparency,varchar/enum,NULL,"Based on how clear the origin, source species, & purpose are
- Clear
- Confusing
- Unclear",,
,purpose,purpose,varchar/enum,Required,"In which category does it fall based on its purpose?
- protein
- fat
- carbohydrate
- fibre
- preservative/stabilizer
- colourant
- sugar
- synthetic flavour enhancer
- thickner/gelling agent
- binder/emulsifier
- vitamin
- mineral
- amino acid
- funtctional additive (used in therapeutic diets)
- unknown nutritonal value","""functional additives"" - Used in specialty diets (GI, urinary, hairball, skin).
DL-methionine (urinary acidifier)
Cranberry extract
Yucca schidigera
Probiotics (Enterococcus, Lactobacillus)
Prebiotics (FOS, MOS)
Glucosamine
Chondroitin
L-carnitine",
,essential,essential,boolean,NULL,"TRUE: If it is essential for cats, FALSE: if it is known to be non-essential for cats
Else NULL",,
,risk,risk,boolean,NULL,"TRUE: If there is known risk for cats for this ingredient, FALSE: if it is known that there is no risk for cats due to this
Else NULL",Later,
,min_qty,minQty,float,NULL,"If min specified for adult cats in latest pet food standards, in order of priority: IS11968 > AAFCO > WSAVA > FEDIAF",,
,max_qty,maxQty,float,NULL,"If max specified for adult cats in latest pet food standards, in order of priority: IS11968 > AAFCO > WSAVA > FEDIAF",,
